rewards,mean10_rewards
151.0,177.45
178.5,175.3
200.0,175.3
180.0,178.89999999999998
173.5,176.25
200.0,179.7
174.5,182.64999999999998
152.5,179.05
179.5,177.0
200.0,177.95
176.0,180.45
200.0,182.6
200.0,182.6
200.0,184.6
200.0,187.25
176.0,184.85
200.0,187.39999999999998
200.0,192.14999999999998
200.0,194.2
173.0,191.5
189.5,192.85000000000002
200.0,192.85000000000002
190.5,191.9
200.0,191.9
200.0,191.9
158.0,190.1
200.0,190.1
200.0,190.1
200.0,190.1
200.0,192.8
138.5,187.7
200.0,187.7
200.0,188.65
184.5,187.10000000000002
200.0,187.10000000000002
200.0,191.3
200.0,191.3
155.0,186.8
197.0,186.5
190.5,185.55
200.0,191.7
184.0,190.1
177.0,187.8
170.0,186.35000000000002
200.0,186.35000000000002
190.0,185.35000000000002
163.0,181.65
200.0,186.15
200.0,186.45
117.5,179.15
200.0,179.15
145.5,175.3
200.0,177.6
177.5,178.35
164.0,174.75
200.0,175.75
200.0,179.45
160.0,175.45
200.0,175.45
200.0,183.7
196.5,183.35000000000002
200.0,188.8
200.0,188.8
118.0,182.85000000000002
200.0,186.45
200.0,186.45
200.0,186.45
155.5,186.0
200.0,186.0
187.0,184.7
200.0,185.05
198.0,184.85
200.0,184.85
117.0,184.75
200.0,184.75
200.0,184.75
200.0,184.75
200.0,189.2
141.5,183.35
200.0,184.64999999999998
200.0,184.64999999999998
200.0,184.85
156.0,180.45
200.0,188.75
166.0,185.35
200.0,185.35
200.0,185.35
200.0,185.35
158.5,187.05
155.5,182.60000000000002
200.0,182.60000000000002
200.0,182.60000000000002
200.0,187.0
187.0,185.7
200.0,189.1
200.0,189.1
200.0,189.1
200.0,189.1
200.0,193.25
197.0,197.4
199.0,197.3
200.0,197.3
200.0,197.3
200.0,198.60000000000002
200.0,198.60000000000002
200.0,198.60000000000002
200.0,198.60000000000002
162.5,194.85000000000002
194.5,194.3
190.5,193.65
180.0,191.75
158.5,187.6
193.5,186.95
200.0,186.95
200.0,186.95
200.0,186.95
200.0,186.95
156.0,186.3
200.0,186.85000000000002
200.0,187.8
198.0,189.60000000000002
200.0,193.75
200.0,194.4
172.5,191.65
200.0,191.65
200.0,191.65
111.0,182.75
183.0,185.45
189.0,184.35000000000002
200.0,184.35000000000002
200.0,184.55
200.0,184.55
200.0,184.55
189.0,186.2
200.0,186.2
186.0,184.8
200.0,193.7
128.0,188.2
200.0,189.3
200.0,189.3
184.5,187.75
171.5,184.9
174.5,182.35
179.5,181.39999999999998
175.5,178.95
175.5,177.89999999999998
200.0,177.89999999999998
189.5,184.05
166.0,180.65
138.5,174.5
200.0,176.05
182.0,177.10000000000002
194.5,179.10000000000002
177.5,178.89999999999998
195.5,180.89999999999998
200.0,183.35
128.0,176.14999999999998
168.5,174.05
189.5,176.39999999999998
200.0,182.55
161.0,178.65
200.0,180.45
200.0,181.0
200.0,183.25
200.0,183.7
185.0,182.2
191.0,188.5
200.0,191.65
173.5,190.05
200.0,190.05
139.5,187.9
200.0,187.9
185.5,186.45
200.0,186.45
200.0,186.45
200.0,187.95
193.5,188.2
200.0,188.2
200.0,190.85
200.0,190.85
200.0,196.9
163.0,193.2
180.0,192.64999999999998
151.0,187.75
136.5,181.4
194.5,180.85
158.5,177.35
200.0,177.35
200.0,177.35
178.5,175.2
200.0,175.2
200.0,178.89999999999998
182.0,179.1
200.0,184.0
194.0,189.75
200.0,190.3
200.0,194.45
200.0,194.45
200.0,194.45
200.0,196.60000000000002
200.0,196.60000000000002
200.0,196.60000000000002
171.0,195.5
200.0,195.5
200.0,196.1
125.5,188.65
159.0,184.55
200.0,184.55
200.0,184.55
200.0,184.55
200.0,184.55
159.0,180.45
200.0,183.35000000000002
200.0,183.35000000000002
200.0,183.35000000000002
184.0,189.2
200.0,193.3
200.0,193.3
200.0,193.3
199.0,193.2
200.0,193.2
200.0,197.3
183.0,195.60000000000002
124.5,188.05
200.0,188.05
147.5,184.39999999999998
179.5,182.35
200.0,182.35
162.5,178.6
119.5,170.65
187.0,169.35000000000002
200.0,169.35000000000002
200.0,171.05
200.0,178.6
200.0,178.6
175.5,181.4
200.0,183.45
200.0,183.45
191.5,186.35000000000002
169.5,191.35
172.5,189.89999999999998
180.0,187.89999999999998
200.0,187.89999999999998
200.0,187.89999999999998
200.0,187.89999999999998
200.0,190.35
170.5,187.4
161.5,183.55
200.0,184.4
200.0,187.45
187.0,188.89999999999998
200.0,190.89999999999998
200.0,190.89999999999998
188.0,189.7
177.0,187.39999999999998
200.0,187.39999999999998
186.5,189.0
200.0,192.85
200.0,192.85
200.0,192.85
200.0,194.15
190.0,193.15
200.0,193.15
200.0,194.35000000000002
200.0,196.65
200.0,196.65
190.0,197.0
200.0,197.0
200.0,197.0
200.0,197.0
200.0,197.0
156.0,193.6
154.5,189.05
171.5,186.2
200.0,186.2
200.0,186.2
200.0,187.2
200.0,187.2
200.0,187.2
200.0,187.2
160.5,183.25
200.0,187.65
188.5,191.05
139.0,187.8
200.0,187.8
200.0,187.8
200.0,187.8
199.5,187.75
200.0,187.75
200.0,187.75
163.5,188.05
200.0,188.05
200.0,189.2
173.5,192.64999999999998
200.0,192.64999999999998
200.0,192.64999999999998
174.0,190.05
200.0,190.10000000000002
195.0,189.60000000000002
178.0,187.4
200.0,191.05
200.0,191.05
200.0,191.05
200.0,193.7
200.0,193.7
162.0,189.9
177.0,190.2
200.0,190.2
99.5,180.65
200.0,182.85
180.0,180.85000000000002
178.5,178.7
200.0,178.7
174.5,176.15
200.0,176.15
175.0,177.45
200.0,179.75
198.5,179.60000000000002
179.0,187.55
200.0,187.55
200.0,189.55
174.5,189.15
198.0,188.95
157.5,187.25
200.0,187.25
176.5,187.39999999999998
179.5,185.35
192.0,184.7
196.5,186.45
191.5,185.6
117.5,177.35
177.0,177.6
188.0,176.6
200.0,180.85
200.0,180.85
170.5,180.25
159.0,178.2
200.0,179.0
176.0,176.95
188.5,176.65
150.5,179.95
200.0,182.25
162.0,179.64999999999998
160.0,175.64999999999998
165.5,172.2
183.5,173.5
200.0,177.6
200.0,177.6
200.0,180.0
176.5,178.8
179.0,181.65
182.0,179.85000000000002
192.5,182.9
200.0,186.9
190.0,189.35000000000002
200.0,191.0
200.0,191.0
188.5,189.85000000000002
200.0,189.85000000000002
200.0,192.2
200.0,194.3
183.5,194.45
174.5,192.65
200.0,192.65
200.0,193.65
200.0,193.65
200.0,193.65
200.0,194.8
200.0,194.8
192.5,194.05
189.5,193.0
200.0,194.65
200.0,197.2
186.0,195.8
200.0,195.8
200.0,195.8
192.5,195.05
200.0,195.05
200.0,195.05
200.0,195.8
200.0,196.85
200.0,196.85
200.0,196.85
200.0,198.25
200.0,198.25
184.0,196.65
200.0,197.4
156.5,193.05
200.0,193.05
200.0,193.05
200.0,193.05
200.0,193.05
200.0,193.05
148.5,187.9
200.0,187.9
142.0,183.7
157.5,179.45
189.0,182.7
169.0,179.6
187.5,178.35
200.0,178.35
200.0,178.35
200.0,178.35
169.5,180.45
200.0,180.45
181.5,184.4
200.0,188.65
200.0,189.75
200.0,192.85000000000002
195.5,193.65
200.0,193.65
200.0,193.65
174.0,191.05
200.0,194.10000000000002
200.0,194.10000000000002
200.0,195.95
200.0,195.95
200.0,195.95
200.0,195.95
200.0,196.4
158.5,192.25
200.0,192.25
